name,tier,lines,quests,aliases,removed_content_only,formats,wiki_url,image_url,appears_in
Maury,epic,119,1,,False,quest,,,Off the Rails
Hive Servant,epic,118,2,,False,quest,,https://wynncraft.wiki.gg/images/Hive_Servant.png?9fdfe1,Citizen | Hive Servant (NPC)
Asher,epic,114,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Asher,https://wynncraft.wiki.gg/images/Asher.png?aebea9,Asher | Deja Vu | Suspended Flowers
Caid,epic,113,4,Sailor Caid,False,quest,https://wynncraft.wiki.gg/wiki/Caid,https://wynncraft.wiki.gg/images/SailorCaid.png?17b2fb,Caid | Recover the Past | Recover the Past (2.0.2) | Recover the Past (2.2.2)
Nohno,epic,113,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Nohno,https://wynncraft.wiki.gg/images/Nohno.png?fd33ca,Cluck Cluck | Nohno | Nohno Wife
Maddison,epic,113,1,,False,quest,,,Off the Rails
Corkus Citizen,epic,107,5,,False,"quest,template",,https://wynncraft.wiki.gg/images/CorkusCitizen.png?2fb5b1,A Hunter's Calling | Citizen | Corkus Citizen (NPC) | The Envoy Part I | The Feathers Fly Part II
Demma,epic,107,1,,False,quest,,https://wynncraft.wiki.gg/images/Demma.png?f03c61,Off the Rails
Receptionist,epic,103,5,,False,"quest,template",,https://wynncraft.wiki.gg/images/Receptionist.png?16646e,Citizen | Cowfusion | Llevigar Receptionist | Overture to Despair | The Feathers Fly Part II
King Draani,epic,102,4,King of Rodoroc,False,quest,https://wynncraft.wiki.gg/wiki/King_Draani,https://wynncraft.wiki.gg/images/KingDraani.png?6c09fa,Dwarves and Doguns Part II | Dwarves and Doguns Part IV | King Draani | The Breaking Point
Jaspur,epic,102,1,,False,quest,https://wynncraft.wiki.gg/wiki/Jaspur,https://wynncraft.wiki.gg/images/Jaspur.png?e9f099,Jaspur
Gale,epic,101,3,,False,quest,https://wynncraft.wiki.gg/wiki/Gale,https://wynncraft.wiki.gg/images/SpiritofGale.png?bea6ba,Gale | Orja | The Qira Hive (Quest)
Arris,epic,99,1,,False,quest,,,Celebrations in Smoke
Korzim,epic,98,5,,False,quest,https://wynncraft.wiki.gg/wiki/Korzim,https://wynncraft.wiki.gg/images/Korzim.png?dec656,Dwarves and Doguns Part I | Dwarves and Doguns Part III | Dwarves and Doguns Part IV | Korzim | The Breaking Point
Enzan,epic,98,4,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Enzan,https://wynncraft.wiki.gg/images/Enzan.png?3f33ce,Enzan | Enzan's Brother | Enzan's Brother (1.19) | Therck
Burick,epic,97,1,,False,quest,,,Celebrations in Smoke
Orja,epic,93,1,,False,quest,https://wynncraft.wiki.gg/wiki/Orja,https://wynncraft.wiki.gg/images/Orja.png?c72a96,Orja
Malic,epic,93,1,,False,quest,,,Off the Rails
Elphaba,epic,92,3,,False,quest,https://wynncraft.wiki.gg/wiki/Elphaba,https://wynncraft.wiki.gg/images/Elphaba%28AJourneyBeyond%29.png?50cbf5,A Journey Beyond | Elphaba | Reclaiming the House
Telati,epic,91,1,,False,quest,,,Off the Rails
Llevigar Archivist,epic,90,2,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Llevigar_Archivist,https://wynncraft.wiki.gg/images/LlevigarArchivist.png?1904c1,Llevigar Archivist | Llevigar's Secret Library
Caissop,epic,89,3,,False,quest,https://wynncraft.wiki.gg/wiki/Caissop,https://wynncraft.wiki.gg/images/Caissop.png?a48c7d,Caissop | Master Piece | Master Piece (1.19)
Drucksh,epic,89,4,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Drucksh,https://wynncraft.wiki.gg/images/Drucksh.png?b45f97,Brothers Return | Drucksh | Grave Digger | Sayleros
Chef Hamsey,rare,88,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Chef_Hamsey,https://wynncraft.wiki.gg/images/ChefHamsey.png?d49238,Chef Hamsey | Recipe For Disaster | Recipe For Disaster (1.20)
Dr. Legendary,rare,87,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Dr._Legendary,https://wynncraft.wiki.gg/images/DrLegendary.png?17e606,Citizen | Dr. Legendary | Legendary Island
Sovereign Soosu,rare,86,5,Soosu,False,quest,https://wynncraft.wiki.gg/wiki/Sovereign_Soosu,https://wynncraft.wiki.gg/images/SovereignSoosu.png?1633cb,Apotheosis (Quest) | Echoes of Change | Ensemble of Hope | Solidarity of Steel | The Price of Ingenuity
Dogun,rare,86,7,,False,quest,,https://wynncraft.wiki.gg/images/Dogun.png?1893be,Blacksmith Dwarf | Dogun (Blacksmith) | Dwarves and Doguns Part I | Sealed in Ice | The Doguns' Defeat | Tirack | World Encounters
Korun,rare,86,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Korun,https://wynncraft.wiki.gg/images/Korun.png?4105da,Korun | Purple and Blue | Purple and Blue (1.20)
Rhay,rare,86,2,,False,quest,https://wynncraft.wiki.gg/wiki/Rhay,https://wynncraft.wiki.gg/images/Rhay.png?27bf6d,Rhay | The Breaking Point
Mask Salesman,rare,85,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Mask_Salesman,https://wynncraft.wiki.gg/images/MaskSalesman.png?568a17,Haunted Mask | Macabre Masquerade ''Hallowynn 2014'' | Mask Salesman
Nick,rare,85,2,,False,quest,https://wynncraft.wiki.gg/wiki/Nick,https://wynncraft.wiki.gg/images/Nick.png?9207a6,Meaningful Holiday | Nick
Doan,rare,84,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Doan,https://wynncraft.wiki.gg/images/Doan.png?98782f,Acquiring Credentials | Acquiring Credentials (1.19) | Doan
Master Azael,rare,84,5,Azael,False,quest,https://wynncraft.wiki.gg/wiki/Master_Azael,https://wynncraft.wiki.gg/images/AzaelPortraitSmiling.png?cd28f2,Apotheosis (Quest) | Ensemble of Hope | First Wicker's Spark | Shrouded in Mist | True Colours
Ragni's King,rare,83,8,King of Ragni,False,"quest,template",https://wynncraft.wiki.gg/wiki/Ragni%27s_King,https://wynncraft.wiki.gg/images/Ragni%27sKing.png?278ac2,A Journey Home | King's Recruit | King's Recruit (1.17) | King's Recruit (1.18) | King's Recruit (2.1) | Queen's Recruit | Ragni's King | WynnExcavation Site D
Admiral Aegis,rare,82,4,,False,template,https://wynncraft.wiki.gg/wiki/Admiral_Aegis,https://wynncraft.wiki.gg/images/AdmiralAegis.png?8cbcad,Admiral Aegis | Arachnids' Ascent | Elemental Exercise | Mushroom Man
Angie,rare,82,1,,False,quest,https://wynncraft.wiki.gg/wiki/Angie,https://wynncraft.wiki.gg/images/Angie%28AuburnForest%29.png?33c4bd,Angie
Captain Fuhue,rare,81,4,Fuhue,False,quest,https://wynncraft.wiki.gg/wiki/Captain_Fuhue,https://wynncraft.wiki.gg/images/FuhuePortrait.png?ee2889,Apotheosis (Quest) | Ensemble of Hope | Shrouded in Mist | True Colours
Worker,rare,81,5,,False,quest,,https://wynncraft.wiki.gg/images/Worker.png?541252,Brothers Return | Citizen | Cowfusion | The Missing Piece | The Worm Holes
Festival Worker,rare,81,1,,False,template,https://wynncraft.wiki.gg/wiki/Festival_Worker,https://wynncraft.wiki.gg/images/FestivalWorker%28Performances%29.png?694cfa,Festival Worker
Lecade,rare,81,2,,False,quest,,,General's Orders | General's Orders (1.20)
Garvan,rare,80,1,,False,quest,https://wynncraft.wiki.gg/wiki/Garvan,https://wynncraft.wiki.gg/images/Garvan%28Past%29.png?4eddf6,Hollow Serenity
Old Man,rare,79,4,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Old_Man,https://wynncraft.wiki.gg/images/OldMan%28HollowSerenity%29.png?8941d3,Hollow Serenity | King's Recruit (1.18) | Old Man | World Encounters
Yahya,rare,78,4,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Yahya,https://wynncraft.wiki.gg/images/Yahya%28NivlaHouse%29.png?bd5ec1,Arachnids' Ascent | Mushroom Man | Mushroom Man (2.0.2) | Yahya
Abramod,rare,78,1,,False,quest,,https://wynncraft.wiki.gg/images/Abramod.png?68b575,Burning Bonds
Farcor,rare,77,3,,False,quest,https://wynncraft.wiki.gg/wiki/Farcor,https://wynncraft.wiki.gg/images/Farcor%28Portrait%29.png?d0715f,Far Above the Clouds | Farcor | The Fortuneteller
Guard,rare,75,7,,False,"quest,template",,,A Hunter's Calling | A Journey Home | Aldorei's Secret Part I | King's Recruit | King's Recruit (1.18) | King's Recruit (2.1) | Rise of the Quartron
Mastro,rare,75,2,,False,quest,https://wynncraft.wiki.gg/wiki/Mastro,https://wynncraft.wiki.gg/images/Mastro.png?f3464a,From the Bottom | Mastro
Linton,rare,75,3,Miner Linton,False,"quest,template",https://wynncraft.wiki.gg/wiki/Linton,https://wynncraft.wiki.gg/images/MinerLinton.png?c558e5,Queen's Recruit | The Mercenary | Tunnel Trouble
Cemor,rare,74,1,,False,quest,,https://wynncraft.wiki.gg/images/Cemor.png?ed852f,Off the Rails
Trials Overseer,rare,74,2,,False,quest,https://wynncraft.wiki.gg/wiki/Trials_Overseer,,Royal Trials | Royal Trials (1.20)
The Envoy,rare,73,9,,False,template,https://wynncraft.wiki.gg/wiki/The_Envoy,https://wynncraft.wiki.gg/images/TheEnvoy.png?47bfb4,Aster | Bag of Tricks | Bottled Spirits | Drawing of the Spirits (Item) | Emblem of the Bonfire | Festival of the Spirits Mystery (2025) | Mask of the Spirits | The Envoy | The Traveler
Maripe,rare,73,1,,False,quest,,,The Scarred Springs
Postmaster,rare,73,1,,False,quest,,,The Missing Piece
Garull,rare,71,2,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Garull,https://wynncraft.wiki.gg/images/Garull.png?85ee6c,Garull | Temple of the Legends (Quest)
Orikal,rare,71,2,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Orikal,https://wynncraft.wiki.gg/images/Orikal.png?52ce14,Orikal | The Corrupted Village
Commander Ferreo,rare,71,1,,False,quest,https://wynncraft.wiki.gg/wiki/Commander_Ferreo,https://wynncraft.wiki.gg/images/CommanderFerreo_%28post-duel_challenge_2%29.png?43d20d,The Strong Survive
Festival Organizer,rare,70,1,,False,quest,,https://wynncraft.wiki.gg/images/FestivalOrganizer.png?1d94a7,Celebrations in Smoke
Juggler,rare,69,1,,False,template,https://wynncraft.wiki.gg/wiki/Juggler,https://wynncraft.wiki.gg/images/Juggler.png?b9518b,Juggler
Elder Birch,rare,68,1,,False,quest,,https://wynncraft.wiki.gg/images/ElderBirch.png?72afce,Aldorei's Secret Part II
Nodise,rare,68,4,,False,quest,,,Citizen | Non-Quest NPCs | The Breaking Point | The Feathers Fly Part II
Cerisa,rare,68,1,,False,quest,,,Celebrations in Smoke
Farmer Cevalus,rare,68,3,Farmer Kelri,False,"quest,template",https://wynncraft.wiki.gg/wiki/Farmer_Cevalus,https://wynncraft.wiki.gg/images/FarmerCevalus.png?d52139,Dearly Departed | Poisoning the Pest | Thieving Rodents
Flinn,rare,68,1,,False,quest,,,Off the Rails
Gardener,rare,67,3,,False,quest,https://wynncraft.wiki.gg/wiki/Gardener,https://wynncraft.wiki.gg/images/Gardener.png?6098aa,Finding The Light (1.19) | Solace in Pain | The Feathers Fly Part II
Detlas Soldier,rare,66,4,,False,"quest,template",,https://wynncraft.wiki.gg/images/Detlas_Soldier.png?961519,Citizen | Detlas Soldier (NPC) | Festival Goer | Taking the Tower
Junes,rare,66,2,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Junes,https://wynncraft.wiki.gg/images/Junes.png?704a91,Junes | Kingdom of Sand
Sayleros,rare,65,4,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Sayleros,https://wynncraft.wiki.gg/images/Sayleros.png?e231a8,Brothers Return | Drucksh | Grave Digger | Sayleros
Manager Nasea,rare,61,2,Nasea,False,quest,https://wynncraft.wiki.gg/wiki/Manager_Nasea,https://wynncraft.wiki.gg/images/ManagerNasea.png?197e72,Rise of the Quartron | Rise of the Quartron (1.19)
Dullahan,rare,60,2,,False,quest,https://wynncraft.wiki.gg/wiki/Dullahan,https://wynncraft.wiki.gg/images/Dullahan.png?c0f58c,"A Headless History | Headless, Not Homeless"
The Scavenger,rare,59,2,,False,template,https://wynncraft.wiki.gg/wiki/The_Scavenger,https://wynncraft.wiki.gg/images/TheScavenger.png?ad36ba,Archaic Writing | The Scavenger
Confectionery Merchant,rare,59,1,,False,quest,https://wynncraft.wiki.gg/wiki/Confectionery_Merchant,https://wynncraft.wiki.gg/images/ConfectioneryMerchant.png?baec99,Confectionery Merchant
Inspector,rare,59,1,,False,quest,,,The Missing Piece
Bak'al,rare,58,6,,False,quest,https://wynncraft.wiki.gg/wiki/Bak%27al,https://wynncraft.wiki.gg/images/Bak%27al.png?53b127,A Hunter's Calling | Bak'al's Destruction 2 | Bak'al's Destruction 3 | Silent Expanse's Secret | The Realm of Light (Quest) | Theorick Twain
Theorick Twain,rare,58,5,Theorick,False,"quest,template",https://wynncraft.wiki.gg/wiki/Theorick_Twain,https://wynncraft.wiki.gg/images/TheorickTwain.png?306363,A Hunter's Calling | Fate of the Fallen | Pottery Wheel | The Twains' Downfall | Torn in Twain
Lutho Citizen,rare,58,4,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Lutho_Citizen,https://wynncraft.wiki.gg/images/LuthoCitizen.png?892870,Citizen | Lutho Citizen (NPC) | Lutho Citizen (Point of No Return) | Point of No Return
Festival Attendee,rare,58,1,,False,quest,,,Celebrations in Smoke
Festival Goer,rare,58,2,Balloon Man,False,"quest,template",https://wynncraft.wiki.gg/wiki/Festival_Goer,https://wynncraft.wiki.gg/images/FestivalGoer%28Friendly%29.png?eb7f5d,Festival Goer | The Cursed One
Ildan,rare,58,2,,False,quest,https://wynncraft.wiki.gg/wiki/Ildan,https://wynncraft.wiki.gg/images/Ildan.png?14f380,Ildan | The Passage (Quest)
Souvenir T-Shirt Merchant,rare,58,1,Souvenir Sweater Merchant,False,quest,https://wynncraft.wiki.gg/wiki/Souvenir_T-Shirt_Merchant,https://wynncraft.wiki.gg/images/SouvenirT-ShirtMerchant.png?ea091d,Souvenir T-Shirt Merchant
Troll,rare,58,1,,False,quest,https://wynncraft.wiki.gg/wiki/Troll,https://wynncraft.wiki.gg/images/Troll_Savage.png?663fc5,Troll (NPC)
Silverbull Worker,rare,57,1,,False,quest,,https://wynncraft.wiki.gg/images/SilverbullWorker%281%29.png?6812d3,Citizen
Captain Ackbar,rare,57,2,,False,quest,https://wynncraft.wiki.gg/wiki/Captain_Ackbar,https://wynncraft.wiki.gg/images/Captainackbar.png?85d4c9,Flight in Distress | Flight in Distress (1.20)
Worid,rare,57,2,,False,quest,https://wynncraft.wiki.gg/wiki/Worid,https://wynncraft.wiki.gg/images/Worid%28Iboju%29.png?f69226,Jungle Fever | Worid
Captain Ragon,rare,56,4,Ragon,False,"quest,template",https://wynncraft.wiki.gg/wiki/Captain_Ragon,https://wynncraft.wiki.gg/images/CaptainRagon.png?42ee7e,Captain Ragon | Elemental Exercise | Elemental Exercise (2.0.2) | Mushroom Man
Harvin,rare,56,1,,False,quest,,,Off the Rails
Yansur,rare,55,2,,False,quest,https://wynncraft.wiki.gg/wiki/Yansur,https://wynncraft.wiki.gg/images/Yansur.png?3d5b81,The Qira Hive (Quest) | Yansur
Elder Oak,rare,54,1,,False,quest,,https://wynncraft.wiki.gg/images/ElderOak.png?bb55f5,Aldorei's Secret Part II
Aldwin,rare,54,1,,False,quest,,,Aldwell Library
Olux Citizen,rare,54,2,,False,"quest,template",,https://wynncraft.wiki.gg/images/OluxCitizen.png?a91192,Citizen | Olux Citizen (NPC)
Cinfras Citizen,rare,54,2,,False,"quest,template",,https://wynncraft.wiki.gg/images/CinfrasCitizen.png?fd6811,Cinfras Citizen (NPC) | Citizen
Tool Merchant,rare,54,1,,False,template,https://wynncraft.wiki.gg/wiki/Tool_Merchant,,Devastated Tool Merchant
Eppo,rare,54,1,,False,quest,https://wynncraft.wiki.gg/wiki/Eppo,https://wynncraft.wiki.gg/images/Eppo.png?955079,Frost Bite
Seluc,rare,54,2,,False,quest,https://wynncraft.wiki.gg/wiki/Seluc,https://wynncraft.wiki.gg/images/Seluc%28Mob%29.png?8d8529,The Canyon Guides | The Canyon Guides (1.20)
Chief Clight,rare,54,1,,False,quest,,https://wynncraft.wiki.gg/images/ChiefClight.png?6b4286,The Canary Calls
The Seer,rare,54,1,,False,"quest,template",https://wynncraft.wiki.gg/wiki/The_Seer,https://wynncraft.wiki.gg/images/TheSeer%28Appearance1%29.png?8b4705,The Seer
Secretary,rare,54,1,,False,quest,,https://wynncraft.wiki.gg/images/Secretary.png?482d1f,The Strong Survive
